spec_name,seed,horizon,num_actions,H_hat,kappa_uniform,kappa_piG,J_uniform,J_piG,J_star
T6_A2,1767113346,6,2,3.0,1.1963583774119142,0.08928115150538615,-8.403532729296247,-6.41442474974149,-5.13370167747025
T6_A2,1341524466,6,2,4.0,2.516309907871256,0.07456433887250882,-6.141227976648039,-2.563275810762937,-1.534841718582504
T6_A2,1584427414,6,2,3.0,1.81846507274333,0.048403650033286574,-5.652393116687012,-2.7748460012957987,-1.6341409236185283
T6_A2,1695597243,6,2,4.0,2.2275049849637094,0.10402390759366535,-6.893590001486868,-3.514790458854647,-1.7953504003476177
T6_A2,593968095,6,2,3.0,1.5825488714977507,0.10702985412885481,-7.26982173614631,-4.727007155238815,-3.5248253645503604
T6_A2,3250018252,6,2,3.0,2.158570719924573,0.05047899995804152,-8.40337430348257,-4.986220604321467,-3.6243736090899703
T6_A2,2628806685,6,2,3.0,1.9863062093024115,0.1419016350159789,-6.676412930562785,-3.5557732538196203,-2.428553012032562
T6_A2,1003606948,6,2,3.0,2.058756199448517,0.10478574144363906,-6.688100912067954,-3.6429442098108806,-2.1993489688020222
T6_A2,422840175,6,2,2.0,2.1788498999719135,0.15161562593882227,-7.297296151828041,-3.781508423421509,-2.418540964180872
T6_A2,1658092859,6,2,3.0,1.7938097713791563,0.05315449701575601,-6.6144393300002395,-3.771606716580077,-2.4872201991735445
T6_A2,2735222429,6,2,3.0,2.202821175186478,0.03967380439096126,-7.401394925045529,-3.744735462850395,-2.5829162000248838
T6_A2,1287622641,6,2,3.0,2.1311285138221807,0.0474985520339188,-6.522571147191674,-2.9348415638215517,-1.6504814908775238
T6_A2,329827512,6,2,3.0,1.4296034776396969,0.24869406964145013,-7.616188823098441,-5.157844165039724,-3.5826000760959946
T6_A2,4226707766,6,2,3.0,1.6831377540977244,0.1023138195083506,-5.994790040500735,-3.2660646292130484,-1.9890516630981052
T6_A2,1964874155,6,2,3.0,1.6731115727846437,0.07890625962886229,-6.158016159538565,-3.430813780751234,-1.9022440635596984
T3_A4,1937244028,3,4,3.0,0.691203209483583,0.022973492074023966,-3.2417461871172457,-2.0882676372567834,-0.6574829358007594
T3_A4,1769923155,3,4,3.0,1.1181505420518163,0.07684569698346105,-4.072501071175421,-2.233405346910263,-0.9575824035724795
T3_A4,2222358531,3,4,2.0,1.1675853042908335,0.03576871530350054,-4.040071307152789,-2.0219015007119023,-0.665715337542372
T3_A4,916095651,3,4,2.0,0.8303249168817818,0.03365208784590396,-2.949096473652,-1.55220664810845,-0.3077483643635157
T3_A4,4170116288,3,4,2.0,1.3599219846647563,0.035314296186947015,-5.37966709400258,-3.0146745117597398,-1.3770631541682026
T3_A4,3129995824,3,4,3.0,0.8288924775291563,0.036870848227617964,-3.149621888600225,-1.8276293035063418,-0.8433178866944124
T3_A4,3078286761,3,4,2.0,1.4888649195445098,0.039122156796642334,-4.104701748341385,-1.883803911318901,-0.9261589526849615
T3_A4,2344674648,3,4,2.0,1.643008876225505,0.0183830936327703,-4.725406715225854,-2.1478719106757453,-0.8208300383574378
T3_A4,2472685471,3,4,3.0,1.2987748627057933,0.0359852320579258,-4.433514330753287,-2.268719174460847,-1.0380945281593188
T3_A4,2289614822,3,4,3.0,1.7174991924606378,0.025544243637678384,-5.406837772787196,-2.766963698908127,-1.4331449939025915
T3_A4,2844023891,3,4,3.0,1.4130782217447244,0.16093633699283097,-4.313924233244766,-1.9532645019613097,-0.7212671141404716
T3_A4,2691373352,3,4,2.0,0.9669911605964838,0.03352420361980869,-3.918647238945123,-2.2837028340349828,-0.6138497424571028
T3_A4,2880686573,3,4,2.0,1.2616474987186548,0.03659807660064132,-3.976655408740771,-1.9458694557028149,-0.8582506921472776
T3_A4,3539334365,3,4,2.0,0.7323378684215693,0.02815280724660931,-3.1326861038240335,-1.843641647951294,-0.3891251609165964
T3_A4,693516645,3,4,2.0,1.0400359573596405,0.024122948205285266,-3.6913633050761914,-1.8843634342655036,-0.19119252325775415
T3_A4,304760317,3,4,3.0,1.5127385453510795,0.03452952999380226,-4.218878092681928,-1.7408727431939885,-0.6143420285208331
T3_A4,3127626771,3,4,3.0,0.8132773506438096,0.036035057810797425,-3.065167133518884,-1.7433842771961285,-0.6440674728993676
T3_A4,563543006,3,4,2.0,0.7816674720603588,0.031249326163297078,-2.9810241744313215,-1.6956916361816483,-0.45287978638469795
T3_A4,2071757275,3,4,2.5,1.3236731404564712,0.1118748756725613,-4.481097854566235,-2.2971538503042983,-1.010202659004954
T3_A4,365744374,3,4,3.0,1.0701451377270588,0.03299926030249033,-3.9763694653635184,-2.253882084417945,-0.9997460636072979
